taxon	method	feature	func	category	score	preserved_ann	new_ann	map_type	UniRef90	description	taxa_rank	taxa_lineage
Alistipes_shahii	finalized	Cluster_108365	GO:0000272:[BP] polysaccharide catabolic process	BP	0.69	1	0	SC	UniRef90_D4IJ57	Pectinesterase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_137159	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILA2	Glycerol-3-phosphate acyltransferase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1372138	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4INP6	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1373479	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4IMY8	Transposase IS116/IS110/IS902 family	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1376333	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IL24	Nicotinamide mononucleotide transporter PnuC	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_137760	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IKU9	Uncharacterized protein conserved in bacteria	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1379524	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4INV0	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_137973	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IJU8	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_138012	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IL42	rRNA methylases	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1380526	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMC4	Peptidase family M23	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1381349	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IMK2	50S ribosomal protein L24	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1382691	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPF7	Uncharacterized membrane protein (Homolog of Drosophila rhomboid)	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1383644	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	UPI	UniRef90_UPI0002EDD374	glycosyltransferase family 1 protein	Species	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii
Alistipes_shahii	finalized	Cluster_138607	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IQB4	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_138813	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPL4	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_138849	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IM12	Sialyltransferase PMO188	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_13901	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4IQG1	Glutaredoxin	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1393129	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILQ0	Acetate kinase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1395063	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILM9	SusD family	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1395067	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILM3	Glycoside hydrolase 97	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1395071	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4ILM5	Metal-dependent hydrolase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1396079	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IQN1	SusD family	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1396275	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IKG3	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_139869	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IM65	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_139899	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPD1	Ni,Fe-hydrogenase III large subunit	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_13994	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4IPS2	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1399581	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4IMG8	Cardiolipin synthase	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_1403629	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SU	UniRef90_D4INA8	Uncharacterized protein	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
Alistipes_shahii	finalized	Cluster_140386	GO:0000272:[BP] polysaccharide catabolic process	BP	0.78	0	1	SC	UniRef90_D4INZ0	Site-specific recombinase XerD	Terminal	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__Alistipes_shahii_WAL_8301
